"id";"PredictorType";"P";"C";"predictor.eff";"prevy1";"datagen";"datacor";"margp.x";"alpha";"beta";"EPV";"folders"
10;"TypeI";4;0.65;"one.noise";0.25;"gen.MVNX";0;".";-1.17288164311794;0.32386234039393;50;"main00070"
11;"TypeI";4;0.65;"one.noise";0.125;"gen.MVNX";0;".";-2.05896013905327;0.319637483893729;3;"main00071"
11;"TypeI";4;0.65;"one.noise";0.125;"gen.MVNX";0;".";-2.05896013905327;0.319637483893729;5;"main00072"
11;"TypeI";4;0.65;"one.noise";0.125;"gen.MVNX";0;".";-2.05896013905327;0.319637483893729;10;"main00073"
11;"TypeI";4;0.65;"one.noise";0.125;"gen.MVNX";0;".";-2.05896013905327;0.319637483893729;15;"main00074"
11;"TypeI";4;0.65;"one.noise";0.125;"gen.MVNX";0;".";-2.05896013905327;0.319637483893729;20;"main00075"
11;"TypeI";4;0.65;"one.noise";0.125;"gen.MVNX";0;".";-2.05896013905327;0.319637483893729;30;"main00076"
11;"TypeI";4;0.65;"one.noise";0.125;"gen.MVNX";0;".";-2.05896013905327;0.319637483893729;50;"main00077"
12;"TypeI";4;0.65;"one.noise";0.0625;"gen.MVNX";0;".";-2.83344410646508;0.317102559045012;3;"main00078"
12;"TypeI";4;0.65;"one.noise";0.0625;"gen.MVNX";0;".";-2.83344410646508;0.317102559045012;5;"main00079"
12;"TypeI";4;0.65;"one.noise";0.0625;"gen.MVNX";0;".";-2.83344410646508;0.317102559045012;10;"main00080"
12;"TypeI";4;0.65;"one.noise";0.0625;"gen.MVNX";0;".";-2.83344410646508;0.317102559045012;15;"main00081"
12;"TypeI";4;0.65;"one.noise";0.0625;"gen.MVNX";0;".";-2.83344410646508;0.317102559045012;20;"main00082"
12;"TypeI";4;0.65;"one.noise";0.0625;"gen.MVNX";0;".";-2.83344410646508;0.317102559045012;30;"main00083"
12;"TypeI";4;0.65;"one.noise";0.0625;"gen.MVNX";0;".";-2.83344410646508;0.317102559045012;50;"main00084"
13;"TypeI";4;0.65;"one.strong";0.5;"gen.MVNX";0;".";0.00232995347028009;0.162923235187055;3;"main00085"
13;"TypeI";4;0.65;"one.strong";0.5;"gen.MVNX";0;".";0.00232995347028009;0.162923235187055;5;"main00086"
13;"TypeI";4;0.65;"one.strong";0.5;"gen.MVNX";0;".";0.00232995347028009;0.162923235187055;10;"main00087"
13;"TypeI";4;0.65;"one.strong";0.5;"gen.MVNX";0;".";0.00232995347028009;0.162923235187055;15;"main00088"
13;"TypeI";4;0.65;"one.strong";0.5;"gen.MVNX";0;".";0.00232995347028009;0.162923235187055;20;"main00089"
13;"TypeI";4;0.65;"one.strong";0.5;"gen.MVNX";0;".";0.00232995347028009;0.162923235187055;30;"main00090"
13;"TypeI";4;0.65;"one.strong";0.5;"gen.MVNX";0;".";0.00232995347028009;0.162923235187055;50;"main00091"
14;"TypeI";4;0.65;"one.strong";0.25;"gen.MVNX";0;".";-1.17292289246622;0.162003356990128;3;"main00092"
14;"TypeI";4;0.65;"one.strong";0.25;"gen.MVNX";0;".";-1.17292289246622;0.162003356990128;5;"main00093"
14;"TypeI";4;0.65;"one.strong";0.25;"gen.MVNX";0;".";-1.17292289246622;0.162003356990128;10;"main00094"
14;"TypeI";4;0.65;"one.strong";0.25;"gen.MVNX";0;".";-1.17292289246622;0.162003356990128;15;"main00095"
14;"TypeI";4;0.65;"one.strong";0.25;"gen.MVNX";0;".";-1.17292289246622;0.162003356990128;20;"main00096"
14;"TypeI";4;0.65;"one.strong";0.25;"gen.MVNX";0;".";-1.17292289246622;0.162003356990128;30;"main00097"
14;"TypeI";4;0.65;"one.strong";0.25;"gen.MVNX";0;".";-1.17292289246622;0.162003356990128;50;"main00098"
15;"TypeI";4;0.65;"one.strong";0.125;"gen.MVNX";0;".";-2.05238098402153;0.160636034524229;3;"main00099"
15;"TypeI";4;0.65;"one.strong";0.125;"gen.MVNX";0;".";-2.05238098402153;0.160636034524229;5;"main00100"
15;"TypeI";4;0.65;"one.strong";0.125;"gen.MVNX";0;".";-2.05238098402153;0.160636034524229;10;"main00101"
15;"TypeI";4;0.65;"one.strong";0.125;"gen.MVNX";0;".";-2.05238098402153;0.160636034524229;15;"main00102"
15;"TypeI";4;0.65;"one.strong";0.125;"gen.MVNX";0;".";-2.05238098402153;0.160636034524229;20;"main00103"
15;"TypeI";4;0.65;"one.strong";0.125;"gen.MVNX";0;".";-2.05238098402153;0.160636034524229;30;"main00104"
15;"TypeI";4;0.65;"one.strong";0.125;"gen.MVNX";0;".";-2.05238098402153;0.160636034524229;50;"main00105"
16;"TypeI";4;0.65;"one.strong";0.0625;"gen.MVNX";0;".";-2.83852642037185;0.159342970563678;3;"main00106"
16;"TypeI";4;0.65;"one.strong";0.0625;"gen.MVNX";0;".";-2.83852642037185;0.159342970563678;5;"main00107"
16;"TypeI";4;0.65;"one.strong";0.0625;"gen.MVNX";0;".";-2.83852642037185;0.159342970563678;10;"main00108"
16;"TypeI";4;0.65;"one.strong";0.0625;"gen.MVNX";0;".";-2.83852642037185;0.159342970563678;15;"main00109"
16;"TypeI";4;0.65;"one.strong";0.0625;"gen.MVNX";0;".";-2.83852642037185;0.159342970563678;20;"main00110"
16;"TypeI";4;0.65;"one.strong";0.0625;"gen.MVNX";0;".";-2.83852642037185;0.159342970563678;30;"main00111"
16;"TypeI";4;0.65;"one.strong";0.0625;"gen.MVNX";0;".";-2.83852642037185;0.159342970563678;50;"main00112"
17;"TypeI";4;0.75;"equal.effect";0.5;"gen.MVNX";0;".";-0.000364842461294757;0.531193278662641;3;"main00113"
17;"TypeI";4;0.75;"equal.effect";0.5;"gen.MVNX";0;".";-0.000364842461294757;0.531193278662641;5;"main00114"
17;"TypeI";4;0.75;"equal.effect";0.5;"gen.MVNX";0;".";-0.000364842461294757;0.531193278662641;10;"main00115"
17;"TypeI";4;0.75;"equal.effect";0.5;"gen.MVNX";0;".";-0.000364842461294757;0.531193278662641;15;"main00116"
17;"TypeI";4;0.75;"equal.effect";0.5;"gen.MVNX";0;".";-0.000364842461294757;0.531193278662641;20;"main00117"
17;"TypeI";4;0.75;"equal.effect";0.5;"gen.MVNX";0;".";-0.000364842461294757;0.531193278662641;30;"main00118"
17;"TypeI";4;0.75;"equal.effect";0.5;"gen.MVNX";0;".";-0.000364842461294757;0.531193278662641;50;"main00119"
18;"TypeI";4;0.75;"equal.effect";0.25;"gen.MVNX";0;".";-1.33019753010404;0.517705747347975;3;"main00120"
18;"TypeI";4;0.75;"equal.effect";0.25;"gen.MVNX";0;".";-1.33019753010404;0.517705747347975;5;"main00121"
18;"TypeI";4;0.75;"equal.effect";0.25;"gen.MVNX";0;".";-1.33019753010404;0.517705747347975;10;"main00122"
18;"TypeI";4;0.75;"equal.effect";0.25;"gen.MVNX";0;".";-1.33019753010404;0.517705747347975;15;"main00123"
18;"TypeI";4;0.75;"equal.effect";0.25;"gen.MVNX";0;".";-1.33019753010404;0.517705747347975;20;"main00124"
18;"TypeI";4;0.75;"equal.effect";0.25;"gen.MVNX";0;".";-1.33019753010404;0.517705747347975;30;"main00125"
